ID,FARM,VARIETY,SITE,YIELD,HEIGHT,DENSITY,FERTILIZER,PROTEIN
F1_A_1,Farm1,A,mesic,720,4.46,21,210,23
F1_A_2,Farm1,A,mesic,740,4.8,19,102,43
F1_A_3,Farm1,A,xeric,690,4.24,22,185,
F1_A_4,Farm1,A,xeric,760,4.38,18,160,
F1_B_1,Farm1,B,mesic,515,3.7,23,120,66
F1_B_2,Farm1,B,mesic,480,3.58,22,210,46
F1_B_3,Farm1,B,xeric,545,3.96,25,145,
F1_B_4,Farm1,B,xeric,492,3.64,20,187,
F1_C_1,Farm1,C,mesic,540,1.22,22,105,51
F1_C_2,Farm1,C,mesic,502,1.2,23,195,29
F1_C_3,Farm1,C,xeric,510,1.04,24,120,31
F1_C_4,Farm1,C,xeric,505,0.95,28,200,
F2_A_1,Farm2,A,mesic,163,1.8,35,135,15
F2_A_2,Farm2,A,mesic,176,1.9,32,138,19
F2_A_3,Farm2,A,xeric,163,1.84,31,152,12
F2_A_4,Farm2,A,xeric,168,2.04,34,149,16
F2_B_1,Farm2,B,mesic,375,3,29,186,22
F2_B_2,Farm2,B,mesic,405,3.24,27,142,45
F2_B_3,Farm2,B,xeric,389,3.04,25,119,
F2_B_4,Farm2,B,xeric,387,2.96,26,110,49
F2_C_1,Farm2,C,mesic,375,2.04,28,198,56
F2_C_2,Farm2,C,mesic,385,2.1,23,206,63
F2_C_3,Farm2,C,xeric,381,2.08,25,154,
F2_C_4,Farm2,C,xeric,400,2.21,25,178,
