PLOTID,FARM,VARIETY,SURVIVE,NITROGEN,PHOSPHORUS
1,Farm1,A,1,540,64
2,Farm1,C,0,80,153
3,Farm1,B,1,495,56
4,Farm1,C,0,170,139
5,Farm1,B,1,450,56
6,Farm1,C,1,360,65
7,Farm1,C,0,170,138
8,Farm1,B,1,360,65
9,Farm1,A,0,20,119
10,Farm1,C,1,465,63
11,Farm1,B,1,540,64
12,Farm1,B,1,495,65
13,Farm1,C,1,570,80
14,Farm1,A,1,465,64
15,Farm1,C,1,510,84
16,Farm1,B,1,630,83
17,Farm1,C,0,180,115
18,Farm1,C,1,630,83
19,Farm1,C,1,585,82
20,Farm1,B,1,570,84
21,Farm1,C,1,525,83
22,Farm1,C,1,630,83
23,Farm1,A,0,180,115
24,Farm1,C,0,200,113
25,Farm1,A,1,630,79
26,Farm1,B,1,450,66
27,Farm1,B,1,570,57
28,Farm1,A,0,220,115
29,Farm1,C,1,600,58
30,Farm1,C,1,630,74
31,Farm1,B,1,690,75
32,Farm1,C,1,735,62
33,Farm1,A,0,270,65
34,Farm1,A,1,375,74
35,Farm1,C,0,360,64
36,Farm1,C,0,330,59
37,Farm1,B,0,330,59
38,Farm1,A,1,375,74
39,Farm1,C,1,300,81
40,Farm1,B,1,135,100
1,Farm2,A,1,495,68
2,Farm2,C,0,360,63
3,Farm2,C,0,400,59
4,Farm2,C,0,350,62
5,Farm2,B,1,510,57
6,Farm2,A,0,400,57
7,Farm2,A,0,350,64
8,Farm2,B,0,360,63
9,Farm2,B,1,270,81
10,Farm2,B,1,60,116
11,Farm2,C,1,60,116
12,Farm2,C,0,340,84
13,Farm2,A,0,350,83
14,Farm2,C,0,450,76
15,Farm2,C,0,300,66
16,Farm2,C,1,60,116
17,Farm2,C,1,510,57
18,Farm2,C,1,510,57
19,Farm2,C,1,210,88
20,Farm2,C,1,420,60
21,Farm2,C,0,440,76
22,Farm2,C,0,490,72
23,Farm2,A,0,420,64
24,Farm2,B,1,330,63
25,Farm2,C,1,165,85
26,Farm2,C,1,285,63
27,Farm2,C,0,490,62
28,Farm2,C,1,255,63
29,Farm2,A,0,350,61
30,Farm2,A,0,340,61
31,Farm2,A,0,200,81
32,Farm2,C,1,210,88
33,Farm2,B,1,525,61
34,Farm2,C,1,210,88
35,Farm2,A,1,480,62
36,Farm2,B,1,480,62
37,Farm2,A,0,200,81
38,Farm2,A,1,525,61
39,Farm2,B,1,360,65
40,Farm2,C,1,390,64
